======================================================================
Phase 1: Differential Evolution - Seed 0
======================================================================
Using workers=25
DE Iter     1: Loss=9.034667e+04 (Spread=7.531328e+01, PenIm=9.03e+04, convergence=0.000e+00)
DE Iter   100: Loss=5.805321e+01 (Spread=5.805321e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   200: Loss=1.612456e+01 (Spread=1.612456e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   300: Loss=6.844407e+00 (Spread=6.844407e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   400: Loss=3.318106e+00 (Spread=3.318106e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   500: Loss=2.159471e+00 (Spread=2.159471e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   600: Loss=1.650246e+00 (Spread=1.650246e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   700: Loss=7.445609e-01 (Spread=7.445609e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   800: Loss=3.627199e-01 (Spread=3.627199e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   900: Loss=3.094425e-01 (Spread=3.094425e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1000: Loss=1.416826e-01 (Spread=1.416826e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1100: Loss=7.271368e-02 (Spread=7.271368e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1200: Loss=4.477615e-02 (Spread=4.477615e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1300: Loss=3.064977e-02 (Spread=3.064977e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1400: Loss=8.525865e-03 (Spread=8.525865e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1500: Loss=8.525865e-03 (Spread=8.525865e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1600: Loss=5.103742e-03 (Spread=5.103742e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1700: Loss=3.435830e-03 (Spread=3.435830e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1800: Loss=1.456531e-03 (Spread=1.456531e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1900: Loss=9.621065e-04 (Spread=9.621065e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2000: Loss=9.621065e-04 (Spread=9.621065e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2100: Loss=4.950617e-04 (Spread=4.950617e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2200: Loss=4.624369e-04 (Spread=4.624369e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2300: Loss=1.930096e-04 (Spread=1.930096e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2400: Loss=1.113375e-04 (Spread=1.113375e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2500: Loss=1.020597e-04 (Spread=1.020597e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2600: Loss=6.419298e-05 (Spread=6.419298e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2700: Loss=3.668007e-05 (Spread=3.668007e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2800: Loss=3.370490e-05 (Spread=3.370490e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2900: Loss=2.742242e-05 (Spread=2.742242e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3000: Loss=1.753966e-05 (Spread=1.753966e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3100: Loss=1.634489e-05 (Spread=1.634489e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3200: Loss=1.634489e-05 (Spread=1.634489e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3300: Loss=1.634489e-05 (Spread=1.634489e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3400: Loss=1.311667e-05 (Spread=1.311667e-05, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3500: Loss=9.962078e-06 (Spread=9.962078e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3600: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3700: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3800: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  3900: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4000: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4100: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4200: Loss=4.713850e-06 (Spread=4.713850e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4300: Loss=4.271049e-06 (Spread=4.271049e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4400: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4500: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4600: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4700: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4800: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  4900: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5000: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5100: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5200: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5300: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5400: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5500: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5600: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5700: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5800: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  5900: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6000: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6100: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6200: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6300: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6400: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6500: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6600: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6700: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6800: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  6900: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7000: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7100: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7200: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7300: Loss=3.912998e-06 (Spread=3.912998e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7400: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7500: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7600: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7700: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7800: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  7900: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8000: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8100: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8200: Loss=3.426594e-06 (Spread=3.426594e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8300: Loss=3.267679e-06 (Spread=3.267679e-06, PenIm=0.00e+00, convergence=0.000e+00)
