======================================================================
Phase 1: CMA-ES Optimization (Seed: 610)
======================================================================
CMA Gen 1: Loss=2.180472e+03 (Deg=7.844267e+01, PenRe=3.41e+01, PenIm=7.10e+01)
CMA Gen 1170: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1180: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1190: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1200: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1210: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1220: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1230: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1240: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1250: Loss=1.135662e+03 (Deg=6.765323e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1260: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1270: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1280: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1290: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1300: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1310: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1320: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1330: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1340: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1350: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1360: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1370: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1380: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1390: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1400: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1410: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1420: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1430: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1440: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1450: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1460: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1470: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1480: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1490: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1500: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1510: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1520: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1530: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1540: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1550: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1560: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1570: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1580: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1590: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1600: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1610: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1620: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1630: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1640: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1650: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1660: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1670: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1680: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1690: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1700: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1710: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1720: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1730: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1740: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1750: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1760: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1770: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1780: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1790: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1800: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1810: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1820: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1830: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1840: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1850: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1860: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1870: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1880: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1890: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1900: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1910: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1920: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1930: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1940: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1950: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1960: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1970: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1980: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1990: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2000: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2010: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2020: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2030: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2040: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2050: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2060: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2070: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2080: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2090: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2100: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2110: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2120: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2130: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2140: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2150: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2160: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2170: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2180: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2190: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2200: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2210: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2220: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2230: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2240: Loss=1.135662e+03 (Deg=6.765353e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2250: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2260: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2270: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2280: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2290: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2300: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 2310: Loss=1.135662e+03 (Deg=6.765347e+01, PenRe=0.00e+00, PenIm=5.34e+01)
